agebroad,gender,percentagetotalpopulation,continent,variant,year
70plus,male,1.747,935,estimates,1955
75plus,male,0.768,935,estimates,1955
80plus,male,0.267,935,estimates,1955
85plus,male,0.066,935,estimates,1955
90plus,male,0.012,935,estimates,1955
total,male,100,935,estimates,1955
0_1,female,7.049,935,estimates,1956
0_4,female,16.354,935,estimates,1956
0_14,female,38.528,935,estimates,1956
0_17,female,44.095,935,estimates,1956
0_19,female,47.745,935,estimates,1956
0_24,female,56.325,935,estimates,1956
3_4,female,6.006,935,estimates,1956
3_5,female,8.744,935,estimates,1956
3_6,female,11.323,935,estimates,1956
4_5,female,5.647,935,estimates,1956
4_6,female,8.227,935,estimates,1956
5_14,female,22.174,935,estimates,1956
5_10,female,14.378,935,estimates,1956
5_11,female,16.414,935,estimates,1956
6_9,female,9.527,935,estimates,1956
6_10,female,11.641,935,estimates,1956
6_11,female,13.676,935,estimates,1956
6_12,female,15.642,935,estimates,1956
7_10,female,9.061,935,estimates,1956
7_12,female,13.062,935,estimates,1956
11_16,female,11.514,935,estimates,1956
11_17,female,13.363,935,estimates,1956
11_18,female,15.2,935,estimates,1956
12_14,female,5.76,935,estimates,1956
12_16,female,9.479,935,estimates,1956
12_17,female,11.328,935,estimates,1956
12_18,female,13.165,935,estimates,1956
13_17,female,9.362,935,estimates,1956
13_18,female,11.199,935,estimates,1956
13_19,female,13.012,935,estimates,1956
15_17,female,5.567,935,estimates,1956
18_23,female,10.584,935,estimates,1956
15_24,female,17.798,935,estimates,1956
15_49,female,47.687,935,estimates,1956
15_59,female,54.711,935,estimates,1956
15_64,female,57.169,935,estimates,1956
20_64,female,47.952,935,estimates,1956
20_69,female,49.828,935,estimates,1956
25_49,female,29.889,935,estimates,1956
25_64,female,39.371,935,estimates,1956
25_69,female,41.248,935,estimates,1956
15plus,female,61.472,935,estimates,1956
16plus,female,59.607,935,estimates,1956
