continent,year,variant,agebroad,population
909,2015,Medium_variant,18_23,3552.335
909,2015,Constant_fertility,20plus,27191.628
909,2015,Constant_mortality,20plus,27191.628
909,2015,Estimates,20plus,27191.628
909,2015,High_variant,20plus,27191.628
909,2015,Instant_replacement,20plus,27191.628
909,2015,Low_variant,20plus,27191.628
909,2015,Medium_variant,20plus,27191.628
909,2015,No_change,20plus,27191.628
909,2015,Zero_migration,20plus,27191.628
909,2015,Constant_fertility,20_64,22497.039
909,2015,Constant_mortality,20_64,22497.039
909,2015,Estimates,20_64,22497.039
909,2015,High_variant,20_64,22497.039
909,2015,Instant_replacement,20_64,22497.039
909,2015,Low_variant,20_64,22497.039
909,2015,Medium_variant,20_64,22497.039
909,2015,No_change,20_64,22497.039
909,2015,Zero_migration,20_64,22497.039
909,2015,Constant_fertility,20_69,24094.689
909,2015,Constant_mortality,20_69,24094.689
909,2015,Estimates,20_69,24094.689
909,2015,High_variant,20_69,24094.689
909,2015,Instant_replacement,20_69,24094.689
909,2015,Low_variant,20_69,24094.689
909,2015,Medium_variant,20_69,24094.689
909,2015,No_change,20_69,24094.689
909,2015,Zero_migration,20_69,24094.689
909,2015,Estimates,21plus,26600.385
909,2015,Medium_variant,21plus,26600.385
909,2015,Constant_fertility,25plus,24217.613
909,2015,Constant_mortality,25plus,24217.613
909,2015,Estimates,25plus,24217.613
909,2015,High_variant,25plus,24217.613
909,2015,Instant_replacement,25plus,24217.613
909,2015,Low_variant,25plus,24217.613
909,2015,Medium_variant,25plus,24217.613
909,2015,No_change,25plus,24217.613
909,2015,Zero_migration,25plus,24217.613
909,2015,Constant_fertility,25_49,13288.929
909,2015,Constant_mortality,25_49,13288.929
909,2015,Estimates,25_49,13288.929
909,2015,High_variant,25_49,13288.929
909,2015,Instant_replacement,25_49,13288.929
909,2015,Low_variant,25_49,13288.929
909,2015,Medium_variant,25_49,13288.929
909,2015,No_change,25_49,13288.929
909,2015,Zero_migration,25_49,13288.929
909,2015,Constant_fertility,25_64,19523.024
909,2015,Constant_mortality,25_64,19523.024
909,2015,Estimates,25_64,19523.024
909,2015,High_variant,25_64,19523.024
909,2015,Instant_replacement,25_64,19523.024
909,2015,Low_variant,25_64,19523.024
909,2015,Medium_variant,25_64,19523.024
909,2015,No_change,25_64,19523.024
909,2015,Zero_migration,25_64,19523.024
909,2015,Constant_fertility,25_69,21120.674
909,2015,Constant_mortality,25_69,21120.674
909,2015,Estimates,25_69,21120.674
909,2015,High_variant,25_69,21120.674
909,2015,Instant_replacement,25_69,21120.674
909,2015,Low_variant,25_69,21120.674
909,2015,Medium_variant,25_69,21120.674
909,2015,No_change,25_69,21120.674
909,2015,Zero_migration,25_69,21120.674
909,2015,Constant_fertility,50plus,10928.684
909,2015,Constant_mortality,50plus,10928.684
909,2015,Estimates,50plus,10928.684
909,2015,High_variant,50plus,10928.684
909,2015,Instant_replacement,50plus,10928.684
909,2015,Low_variant,50plus,10928.684
909,2015,Medium_variant,50plus,10928.684
909,2015,No_change,50plus,10928.684
909,2015,Zero_migration,50plus,10928.684
909,2015,Constant_fertility,60plus,6480.987
909,2015,Constant_mortality,60plus,6480.987
909,2015,Estimates,60plus,6480.987
909,2015,High_variant,60plus,6480.987
909,2015,Instant_replacement,60plus,6480.987
909,2015,Low_variant,60plus,6480.987
909,2015,Medium_variant,60plus,6480.987
909,2015,No_change,60plus,6480.987
909,2015,Zero_migration,60plus,6480.987
909,2015,Constant_fertility,65plus,4694.589
909,2015,Constant_mortality,65plus,4694.589
909,2015,Estimates,65plus,4694.589
909,2015,High_variant,65plus,4694.589
909,2015,Instant_replacement,65plus,4694.589
909,2015,Low_variant,65plus,4694.589
909,2015,Medium_variant,65plus,4694.589
909,2015,No_change,65plus,4694.589
909,2015,Zero_migration,65plus,4694.589
909,2015,Constant_fertility,70plus,3096.939
909,2015,Constant_mortality,70plus,3096.939
909,2015,Estimates,70plus,3096.939
909,2015,High_variant,70plus,3096.939
909,2015,Instant_replacement,70plus,3096.939
909,2015,Low_variant,70plus,3096.939
909,2015,Medium_variant,70plus,3096.939
909,2015,No_change,70plus,3096.939
909,2015,Zero_migration,70plus,3096.939
909,2015,Constant_fertility,75plus,1962.846
909,2015,Constant_mortality,75plus,1962.846
909,2015,Estimates,75plus,1962.846
909,2015,High_variant,75plus,1962.846
909,2015,Instant_replacement,75plus,1962.846
909,2015,Low_variant,75plus,1962.846
909,2015,Medium_variant,75plus,1962.846
909,2015,No_change,75plus,1962.846
909,2015,Zero_migration,75plus,1962.846
909,2015,Constant_fertility,80plus,1144.936
909,2015,Constant_mortality,80plus,1144.936
909,2015,Estimates,80plus,1144.936
909,2015,High_variant,80plus,1144.936
